577,487
833,149
1013,589
769,34
969,436
572,488
1021,589
574,486
833,149
1012,589
770,34
969,436
572,488
254,508
1020,589
574,486
502,507
832,149
1011,588
772,34
973,436
572,489
254,508
1019,588
574,486
831,149
1008,588
774,35
990,437
571,489
254,508
1019,588
574,486
832,148
1010,590
776,34
990,438
571,489
255,507
1022,588
509,624
574,486
832,149
1008,591
778,34
990,437
571,488
255,507
1020,588
574,486
831,149
1009,590
779,35
995,435
570,488
255,507
1020,588
574,486
831,149
1010,591
779,35
995,435
570,488
255,507
1020,588
574,486
831,149
1008,589
780,35
992,429
571,488
255,507
403,506
1020,588
575,483
830,149
1012,589
782,35
992,428
571,487
255,507
403,506
1022,588
575,483
829,150
1010,589
782,36
989,424
570,488
255,507
402,506
1022,587
576,483
828,150
1011,589
792,37
990,424
570,488
256,507
1022,587
575,486
672,422
673,419
672,418
673,418
675,416
676,411
676,409
673,410
673,406
673,410
673,407
677,397
675,393
675,390
678,383
677,375
673,371
671,369
665,365
662,355
663,349
670,344
668,337
664,329
667,326
669,327
664,329
662,334
656,335
658,335
663,335
673,336
677,328
680,326
681,324
677,326
677,329
671,335
666,341
667,337
672,337
679,338
678,338
678,337
676,337
675,340
672,347
657,352
652,355
655,355
663,363
665,365
662,367
655,354
657,356
655,365
651,372
648,377
649,378
656,375
665,367
668,363
672,353
677,348
681,344
683,345
683,343
685,341
685,341
694,339
699,336
705,327
917,476
609,437
650,440
501,447
607,448
918,476
609,437
649,440
501,447
607,448
918,476
609,437
649,440
501,447
607,448
918,476
609,437
649,440
501,447
607,448
918,476
609,437
649,440
501,447
607,448
918,476
609,437
649,440
501,447
607,448
918,476
355,423
609,437
649,440
501,447
607,448
918,476
355,423
609,437
649,440
501,447
608,448
917,476
609,437
649,440
1000,436
501,447
608,448
918,476
355,423
609,438
649,440
1001,436
501,447
918,476
609,438
649,440
1001,436
501,447
918,476
355,423
609,438
649,440
1001,436
501,447
918,476
355,423
609,438
649,440
1001,436
501,447
918,476
356,423
609,438
649,440
1001,436
501,447
918,476
356,423
609,438
649,440
1001,436
501,447
918,476
356,423
609,438
649,440
1001,436
501,447
918,476
609,438
649,440
1001,436
501,447
918,476
609,438
649,440
1001,436
500,447
918,476
609,438
649,440
1001,436
500,447
918,476
609,438
649,440
1001,436
500,447
918,476
609,438
649,440
1001,436
500,447
918,476
609,438
649,440
1001,436
500,447
918,476
609,438
649,440
1001,436
500,447
918,476
609,438
649,440
1001,436
500,447
918,476
609,438
649,440
1001,436
500,447
918,476
609,438
649,440
1001,436
500,447
918,476
609,438
649,440
1001,436
500,447
918,476
609,438
649,440
1001,436
500,447
918,476
609,438
649,440
1001,436
500,447
918,476
609,438
649,440
1001,436
500,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
917,476
609,438
649,440
1001,436
501,447
908,459
917,476
1010,482
356,424
355,437
379,437
534,435
